Title,Real GDP,Year-ended real GDP growth,Real non-farm GDP,Year-ended real non-farm GDP growth,Real farm GDP,Year-ended real GDP per capita growth,Real GDI,Year-ended real GDI growth,Nominal GDP,Year-ended nominal GDP growth,Terms of trade
1/09/2000,302709,3.3,294027,3.4,8164,3.1,266732,5.2,170351,8.1,54.4
1/12/2000,301586,1.2,293250,1.2,8902,2.1,268268,4.4,174583,8.8,55.1
1/03/2001,304710,1.9,296326,1.9,8504,0.1,266939,1.7,173629,6.3,54.8
1/06/2001,307195,1.8,298224,1.5,8536,0.6,269695,1.7,178620,6.1,54.8
1/09/2001,310801,2.7,301395,2.5,9185,0.5,271617,1.8,180334,5.9,54.6
1/12/2001,314584,4.3,305718,4.3,9600,1.4,275621,2.7,184161,5.5,55.3
1/03/2002,316953,4,307737,3.9,9038,3,278826,4.5,186730,7.5,55.2
1/06/2002,322431,5,314258,5.4,9417,2.8,282204,4.6,190856,6.9,56.3
1/09/2002,323397,4.1,316225,4.9,8388,3.8,286362,5.4,194080,7.6,55.7
1/12/2002,326034,3.6,319735,4.6,7582,2.9,287325,4.2,196885,6.9,55.9
1/03/2003,326649,3.1,321153,4.4,6873,2.5,290133,4.1,200131,7.2,56.3
1/06/2003,328040,1.7,322348,2.6,6197,1.9,291274,3.2,202292,6,56.8
1/09/2003,333753,3.2,326537,3.3,6373,0.6,292713,2.2,204283,5.3,57.1
1/12/2003,339284,4.1,330932,3.5,7711,2,298980,4.1,209110,6.2,58.2
1/03/2004,341882,4.7,332862,3.6,8721,2.9,305165,5.2,214360,7.1,59.4
1/06/2004,344192,4.9,335190,4,9318,3.5,309607,6.3,218452,8,61.6
1/09/2004,346828,3.9,338190,3.6,9323,3.8,313425,7.1,221749,8.5,63.3
1/12/2004,349417,3,340955,3,8991,2.8,316101,5.7,225015,7.6,63.9
1/03/2005,352071,3,343336,3.1,8836,1.9,319013,4.5,228879,6.8,64.7
1/06/2005,353658,2.8,344282,2.7,9128,1.8,323003,4.3,233040,6.7,66.5
